id,Accession,ReleaseDate,Release Time,LoadDate,Load Time,bases,avgLength,CenterName
1,COVID1007_barcode01,2/16/2020,0:00,COVID1007_barcode01,0:00,10000000,2400,TTSH
2,COVID1007_barcode02,2/20/2020,0:00,COVID1007_barcode02,0:00,10000000,2400,TTSH
3,COVID1007_barcode03,3/16/2020,0:00,COVID1007_barcode03,0:00,10000000,2400,TTSH
4,COVID1007_barcode04,3/16/2020,0:00,COVID1007_barcode04,0:00,10000000,2400,TTSH
5,COVID1007_barcode05,3/17/2020,0:00,COVID1007_barcode05,0:00,10000000,2400,TTSH
6,COVID1007_barcode07,3/20/2020,0:00,COVID1007_barcode07,0:00,10000000,2400,TTSH
7,COVID1007_barcode08,3/20/2020,0:00,COVID1007_barcode08,0:00,10000000,2400,TTSH
8,COVID1007_barcode09,3/21/2020,0:00,COVID1007_barcode09,0:00,10000000,2400,TTSH
9,COVID1007_barcode12,3/6/2020,0:00,COVID1007_barcode12,0:00,10000000,2400,TTSH
10,COVID1007_barcode13,3/16/2020,0:00,COVID1007_barcode13,0:00,10000000,2400,TTSH
11,COVID1007_barcode14,3/17/2020,0:00,COVID1007_barcode14,0:00,10000000,2400,TTSH
12,COVID1007_barcode15,3/20/2020,0:00,COVID1007_barcode15,0:00,10000000,2400,TTSH
13,COVID1007_barcode16,3/21/2020,0:00,COVID1007_barcode16,0:00,10000000,2400,TTSH
14,COVID1007_barcode17,3/22/2020,0:00,COVID1007_barcode17,0:00,10000000,2400,TTSH
15,COVID1007_barcode18,3/23/2020,0:00,COVID1007_barcode18,0:00,10000000,2400,TTSH
16,COVID1007_barcode20,3/24/2020,0:00,COVID1007_barcode20,0:00,10000000,2400,TTSH
17,COVID1007_barcode21,3/25/2020,0:00,COVID1007_barcode21,0:00,10000000,2400,TTSH
18,COVID1007_barcode22,3/25/2020,0:00,COVID1007_barcode22,0:00,10000000,2400,TTSH
19,COVID1007_barcode23,3/25/2020,0:00,COVID1007_barcode23,0:00,10000000,2400,TTSH
20,COVID1007_barcode24,3/26/2020,0:00,COVID1007_barcode24,0:00,10000000,2400,TTSH
21,COVID1007_barcode25,3/26/2020,0:00,COVID1007_barcode25,0:00,10000000,2400,TTSH
22,COVID1007_barcode27,3/28/2020,0:00,COVID1007_barcode27,0:00,10000000,2400,TTSH
23,COVID1007_barcode28,3/29/2020,0:00,COVID1007_barcode28,0:00,10000000,2400,TTSH
24,COVID1007_barcode30,3/29/2020,0:00,COVID1007_barcode30,0:00,10000000,2400,TTSH
25,COVID1007_barcode36,4/2/2020,0:00,COVID1007_barcode36,0:00,10000000,2400,TTSH
26,COVID1007_barcode38,4/2/2020,0:00,COVID1007_barcode38,0:00,10000000,2400,TTSH
27,COVID1007_barcode42,4/4/2020,0:00,COVID1007_barcode42,0:00,10000000,2400,TTSH
28,COVID1007_barcode47,4/6/2020,0:00,COVID1007_barcode47,0:00,10000000,2400,TTSH
29,COVID1008_barcode17,3/20/2020,0:00,COVID1008_barcode17,0:00,10000000,2400,TTSH
30,COVID1008_barcode18,3/21/2020,0:00,COVID1008_barcode18,0:00,10000000,2400,TTSH
31,COVID1008_barcode19,3/23/2020,0:00,COVID1008_barcode19,0:00,10000000,2400,TTSH
32,COVID1008_barcode20,4/8/2020,0:00,COVID1008_barcode20,0:00,10000000,2400,TTSH
33,COVID1008_barcode21,2/28/2020,0:00,COVID1008_barcode21,0:00,10000000,2400,TTSH
34,COVID1008_barcode22,2/29/2020,0:00,COVID1008_barcode22,0:00,10000000,2400,TTSH
35,COVID1008_barcode24,3/13/2020,0:00,COVID1008_barcode24,0:00,10000000,2400,TTSH
36,COVID1008_barcode25,3/14/2020,0:00,COVID1008_barcode25,0:00,10000000,2400,TTSH
37,COVID1008_barcode26,3/16/2020,0:00,COVID1008_barcode26,0:00,10000000,2400,TTSH
38,COVID1008_barcode27,3/17/2020,0:00,COVID1008_barcode27,0:00,10000000,2400,TTSH
39,COVID1008_barcode28,3/17/2020,0:00,COVID1008_barcode28,0:00,10000000,2400,TTSH
40,COVID1008_barcode29,3/17/2020,0:00,COVID1008_barcode29,0:00,10000000,2400,TTSH
41,COVID1008_barcode30,3/18/2020,0:00,COVID1008_barcode30,0:00,10000000,2400,TTSH
42,COVID1008_barcode31,3/25/2020,0:00,COVID1008_barcode31,0:00,10000000,2400,TTSH
43,COVID1008_barcode32,3/25/2020,0:00,COVID1008_barcode32,0:00,10000000,2400,TTSH
44,COVID1008_barcode33,3/27/2020,0:00,COVID1008_barcode33,0:00,10000000,2400,TTSH
45,COVID1008_barcode34,3/29/2020,0:00,COVID1008_barcode34,0:00,10000000,2400,TTSH
46,COVID1008_barcode35,4/2/2020,0:00,COVID1008_barcode35,0:00,10000000,2400,TTSH
47,COVID1008_barcode36,4/2/2020,0:00,COVID1008_barcode36,0:00,10000000,2400,TTSH
48,COVID1008_barcode37,4/3/2020,0:00,COVID1008_barcode37,0:00,10000000,2400,TTSH
49,COVID1008_barcode42,4/7/2020,0:00,COVID1008_barcode42,0:00,10000000,2400,TTSH
50,COVID1008_barcode48,4/11/2020,0:00,COVID1008_barcode48,0:00,10000000,2400,TTSH
51,COVID1008_barcode55,4/12/2020,0:00,COVID1008_barcode55,0:00,10000000,2400,TTSH
52,COVID1008_barcode56,4/12/2020,0:00,COVID1008_barcode56,0:00,10000000,2400,TTSH
53,COVID1008_barcode77,4/12/2020,0:00,COVID1008_barcode77,0:00,10000000,2400,TTSH
54,COVID1008_barcode78,4/12/2020,0:00,COVID1008_barcode78,0:00,10000000,2400,TTSH
55,COVID1011_barcode03,7/8/2020,0:00,COVID1011_barcode03,0:00,10000000,2400,TTSH
56,COVID1011_barcode04,7/13/2020,0:00,COVID1011_barcode04,0:00,10000000,2400,TTSH
57,COVID1011_barcode22,6/9/2020,0:00,COVID1011_barcode22,0:00,10000000,2400,TTSH
