id,Accession,ReleaseDate
1,COVID1007_barcode44,4/5/2020
2,COVID1007_barcode46,4/6/2020
3,COVID1007_barcode48,4/6/2020
4,COVID1007_barcode50,4/6/2020
5,COVID1007_barcode53,4/7/2020
6,COVID1007_barcode61,4/10/2020
7,COVID1007_barcode63,4/10/2020
8,COVID1008_barcode03,4/15/2020
9,COVID1008_barcode10,4/16/2020
10,COVID1008_barcode11,4/17/2020
11,COVID1008_barcode43,4/9/2020
12,COVID1008_barcode47,4/11/2020
13,COVID1008_barcode53,4/12/2020
14,COVID1008_barcode57,4/12/2020
15,COVID1008_barcode60,4/14/2020
16,COVID1008_barcode66,4/14/2020
17,COVID1008_barcode67,4/14/2020
18,COVID1008_barcode68,4/14/2020
19,COVID1008_barcode70,4/14/2020
20,COVID1008_barcode71,4/14/2020
21,COVID1009_barcode03,4/18/2020
22,COVID1009_barcode04,4/18/2020
23,COVID1009_barcode05,4/18/2020
24,COVID1009_barcode07,4/19/2020
25,COVID1009_barcode10,4/21/2020
26,COVID1009_barcode11,4/21/2020
27,COVID1009_barcode16,4/22/2020
28,COVID1009_barcode22,4/22/2020
29,COVID1009_barcode34,4/24/2020
30,COVID1009_barcode40,4/25/2020
31,COVID1009_barcode57,4/30/2020
32,COVID1009_barcode65,5/2/2020
33,COVID1010_barcode02,5/4/2020
34,COVID1010_barcode20,5/9/2020
35,COVID1010_barcode36,5/15/2020
